城市	日期	累计确诊	累计治愈	累计死亡
抚州	2020/6/30	72	72	0
抚顺	2020/6/30	1	1	0
拉萨	2020/6/30	1	1	0
揭阳	2020/6/30	10	8	0
攀枝花	2020/6/30	16	16	0
文山	2020/6/30	2	2	0
文昌	2020/6/30	3	3	0
新乡	2020/6/30	57	53	2
新余	2020/6/30	130	130	0
无锡	2020/6/30	55	54	0
日照	2020/6/30	16	16	0
昆明	2020/6/30	53	53	0
昌吉州	2020/6/30	4	4	0
昌平区	2020/6/30	30	0	0
昌江	2020/6/30	7	7	0
昭通	2020/6/30	25	25	0
晋中	2020/6/30	37	37	0
晋城	2020/6/30	10	10	0
普洱	2020/6/30	4	4	0
普陀区	2020/6/30	11	11	0
景德镇	2020/6/30	6	6	0
曲靖	2020/6/30	13	13	0
朔州	2020/6/30	8	8	0
朝阳区	2020/6/30	77	0	0
朝阳市	2020/6/30	6	5	1
本溪	2020/6/30	3	3	0
来宾	2020/6/30	11	11	0
杨浦区	2020/6/30	9	9	0
杭州	2020/6/30	186	176	0
松原	2020/6/30	2	2	0
松江区	2020/6/30	14	14	0
枣庄	2020/6/30	24	24	0
柳州	2020/6/30	24	24	0
株洲	2020/6/30	80	80	0
桂林	2020/6/30	32	32	0
梁平区	2020/6/30	4	4	0
梅州	2020/6/30	16	16	0
梧州	2020/6/30	5	5	0
楚雄	2020/6/30	4	4	0
榆林	2020/6/30	3	3	0
武汉	2020/6/30	50340	46471	3869
武清区	2020/6/30	2	2	0
武隆区	2020/6/30	1	1	0
毕节	2020/6/30	23	23	0
永川区	2020/6/30	5	5	0
永州	2020/6/30	44	44	0
汉中	2020/6/30	26	26	0
汕头	2020/6/30	25	24	0
汕尾	2020/6/30	5	2	0
江北区	2020/6/30	28	28	0
江津区	2020/6/30	4	4	0
江苏-境外输入	2020/6/30	22	22	0
江西-境外输入	2020/6/30	2	2	0
江门	2020/6/30	23	23	0
池州	2020/6/30	17	17	0
沈阳	2020/6/30	34	31	0
沙坪坝区	2020/6/30	9	9	0
沧州	2020/6/30	49	45	3
河东区	2020/6/30	15	14	1
河北-境外输入	2020/6/30	10	10	0
河北区	2020/6/30	12	12	0
河南-境外输入	2020/6/30	3	3	0
河池	2020/6/30	28	27	1
河源	2020/6/30	5	2	0
河西区	2020/6/30	4	4	0
泉州	2020/6/30	47	47	0
泰安	2020/6/30	35	33	2
泰州	2020/6/30	37	37	0
泸州	2020/6/30	24	24	0
洛阳	2020/6/30	31	30	1
津南区	2020/6/30	2	2	0
济南	2020/6/30	47	47	0
济宁	2020/6/30	260	260	0
济源	2020/6/30	5	1	0
浙江-境外输入	2020/6/30	50	50	0
浙江-省十里丰监狱	2020/6/30	36	36	0
浦东新区	2020/6/30	61	59	0
海北州	2020/6/30	3	3	0
海口	2020/6/30	39	39	0
海淀区	2020/6/30	82	0	0
涪陵区	2020/6/30	5	5	0
淄博	2020/6/30	30	29	1
淮北	2020/6/30	27	27	0
淮南	2020/6/30	27	27	0
淮安	2020/6/30	66	66	0
深圳	2020/6/30	423	414	3
清远	2020/6/30	12	12	0
渝中区	2020/6/30	20	20	0
渝北区	2020/6/30	17	17	0
温州	2020/6/30	504	503	1
渭南	2020/6/30	16	16	0
湖南-境外输入	2020/6/30	1	1	0
湖州	2020/6/30	10	10	0
湘潭	2020/6/30	36	36	0
湘西	2020/6/30	8	8	0
湛江	2020/6/30	22	20	0
滁州	2020/6/30	13	13	0
滨州	2020/6/30	15	15	0
滨海新区	2020/6/30	3	3	0
漯河	2020/6/30	36	35	0
漳州	2020/6/30	20	20	0
潍坊	2020/6/30	44	44	0
潜江	2020/6/30	198	189	9
潮州	2020/6/30	5	5	0
潼南区	2020/6/30	18	18	0
澄迈	2020/6/30	9	8	1
澳门	2020/6/30	45	45	0
濮阳	2020/6/30	17	5	0
烟台	2020/6/30	47	47	0
焦作	2020/6/30	32	3	0
牡丹江	2020/6/30	25	25	0
玉林	2020/6/30	11	11	0
玉溪	2020/6/30	14	13	1
珠海	2020/6/30	98	97	1
琼中	2020/6/30	1	1	0
琼海	2020/6/30	6	5	1
璧山区	2020/6/30	9	9	0
甘南	2020/6/30	8	8	0
甘孜	2020/6/30	78	78	0
甘肃-境外输入	2020/6/30	71	50	0
白城	2020/6/30	1	1	0
白银	2020/6/30	4	4	0
百色	2020/6/30	3	3	0
益阳	2020/6/30	60	60	0
盐城	2020/6/30	27	27	0
盘锦	2020/6/30	11	11	0
眉山	2020/6/30	8	8	0
石嘴山	2020/6/30	1	1	0
石家庄	2020/6/30	29	29	0
石景山区	2020/6/30	15	0	0
石柱县	2020/6/30	15	15	0
神农架	2020/6/30	11	11	0
福州	2020/6/30	72	71	1
福建-境外输入	2020/6/30	67	62	0
秀山县	2020/6/30	1	1	0
秦皇岛	2020/6/30	10	9	1
綦江区	2020/6/30	23	23	0
红桥区	2020/6/30	2	2	0
红河	2020/6/30	9	9	0
绍兴	2020/6/30	42	42	0
绥化	2020/6/30	47	43	4
绵阳	2020/6/30	22	22	0
聊城	2020/6/30	38	38	0
肇庆	2020/6/30	19	14	1
自贡	2020/6/30	9	9	0
舟山	2020/6/30	10	10	0
芜湖	2020/6/30	34	34	0
苏州	2020/6/30	87	87	0
茂名	2020/6/30	14	14	0
荆州	2020/6/30	1580	1528	52
荆门	2020/6/30	928	887	41
荣昌区	2020/6/30	9	9	0
莆田	2020/6/30	56	56	0
菏泽	2020/6/30	18	18	0
萍乡	2020/6/30	33	33	0
营口	2020/6/30	1	1	0
葫芦岛	2020/6/30	12	11	1
虹口区	2020/6/30	7	7	0
蚌埠	2020/6/30	160	155	5
衡水	2020/6/30	8	8	0
衡阳	2020/6/30	48	48	0
衢州	2020/6/30	14	14	0
襄阳	2020/6/30	1175	1135	40
西双版纳	2020/6/30	15	14	1
西城区	2020/6/30	59	0	0
西宁	2020/6/30	15	15	0
西安	2020/6/30	120	117	3
西青区	2020/6/30	4	4	0
许昌	2020/6/30	39	36	0
贵港	2020/6/30	8	8	0
贵阳	2020/6/30	36	35	1
贺州	2020/6/30	4	4	0
资阳	2020/6/30	4	4	0
赣州	2020/6/30	76	75	1
赣江新区	2020/6/30	1	1	0
赤峰	2020/6/30	9	9	0
辽宁-境外输入	2020/6/30	24	22	0
辽源	2020/6/30	7	7	0
辽阳	2020/6/30	3	3	0
达州	2020/6/30	42	42	0
运城	2020/6/30	19	19	0
连云港	2020/6/30	48	48	0
通化	2020/6/30	7	7	0
通州区	2020/6/30	20	0	0
通辽	2020/6/30	7	7	0
遂宁	2020/6/30	17	17	0
遵义	2020/6/30	32	32	0
邢台	2020/6/30	23	22	1
邯郸	2020/6/30	32	32	0
邵阳	2020/6/30	102	101	1
郑州	2020/6/30	161	93	2
郴州	2020/6/30	39	38	0
鄂尔多斯	2020/6/30	11	11	0
鄂州	2020/6/30	1394	1335	59
酉阳县	2020/6/30	1	1	0
重庆-境外输入	2020/6/30	6	3	0
金华	2020/6/30	55	55	0
金山区	2020/6/30	4	4	0
金昌	2020/6/30	1	1	0
钦州	2020/6/30	8	8	0
铁岭	2020/6/30	7	7	0
铜仁	2020/6/30	10	10	0
铜川	2020/6/30	8	8	0
铜梁区	2020/6/30	10	10	0
铜陵	2020/6/30	29	29	0
银川	2020/6/30	34	34	0
锡林郭勒	2020/6/30	9	9	0
锦州	2020/6/30	12	12	0
镇江	2020/6/30	12	12	0
长宁区	2020/6/30	13	13	0
长寿区	2020/6/30	22	22	0
长春	2020/6/30	45	45	0
长沙	2020/6/30	242	240	2
长治	2020/6/30	8	8	0
门头沟区	2020/6/30	5	0	0
闵行区	2020/6/30	19	19	0
阜新	2020/6/30	8	8	0
阜阳	2020/6/30	155	155	0
防城港	2020/6/30	19	19	0
阳江	2020/6/30	14	14	0
阳泉	2020/6/30	4	4	0
阿克苏	2020/6/30	1	1	0
阿坝州	2020/6/30	1	1	0
陇南	2020/6/30	4	4	0
陕西-境外输入	2020/6/30	75	67	0
陵水	2020/6/30	4	4	0
随州	2020/6/30	1307	1262	45
雅安	2020/6/30	8	7	0
青岛	2020/6/30	65	64	1
青浦区	2020/6/30	6	6	0
静安区	2020/6/30	16	15	0
鞍山	2020/6/30	4	4	0
韶关	2020/6/30	10	7	1
顺义区	2020/6/30	10	6	0
香港	2020/6/30	1203	1105	4
马鞍山	2020/6/30	38	38	0
驻马店	2020/6/30	139	137	0
